student_id,attendance_percentage,study_hours_per_day,daily_completion_percent,sleep_hours,screen_time,Academic Performance Change,breaks_per_day,app_opens_per_day,burnout_score,pass_fail,programming_score,math_prev_score,science_prev_score,arts_prev_score,daily_study_hours
1,75.7384054,4.35,74.11,6.809352144,4.993800836,Same,6,154,2.037343594,1,60.59970654,61.48821154,53.56811922,64.97229191,1.427202816
2,89.6027363,6.14,80.68,5.567793478,3.86297953,Same,13,71,0,1,92.28928685,85.61256506,91.87375899,89.04046072,4.813611518
3,81.49542557,4.98,79.69,6.70287496,5.428879937,Same,1,106,0,1,80.2596668,82.16065605,72.73606493,74.24366252,1.24090778
4,71.47204702,3.19,79.07,7.854438568,6.304842195,Same,9,107,7.227651179,1,72.92621663,75.97914536,76.72649645,67.71599457,2.19060111
5,64.27658206,7.67,65.4,7.662428899,4.903146307,Same,8,177,0,1,48.58102522,51.37997746,48.99322399,46.14501062,2.192264805
6,61.6243973,7.18,47.3,7.302930413,3.869207542,Improved,10,56,1.472916433,0,48.57969862,53.98360225,41.29194112,46.82009203,2.281605145
7,59.87697955,9.06,90.83,6.534113899,6.502918113,Improved,14,95,1.798278272,0,43.19459867,47.36420944,41.64855328,39.34461834,1.657147373
8,81.94717326,6.37,93.05,6.769044045,3.618190377,Same,2,117,1.939260927,1,87.63968802,89.93558841,83.87890599,81.1591047,4.132645724
9,71.63103495,4.19,69.13,6.949089078,1.534403021,Improved,13,134,3.535596075,1,73.06132565,72.71049709,74.6571982,70.78072151,1.489991448
10,69.68530294,7.28,89.53,7.848448592,4.628498228,Improved,7,82,0,1,78.94399178,70.63918711,85.64624401,79.85112488,3.539626637
11,57.22535835,6.38,99.15,6.841872221,5.896311941,Same,12,15,1.801036705,0,41.13214719,43.28023828,31.75628484,44.10729452,1.495384107
12,87.63941819,6.36,88.77,6.332073845,8.882606326,Same,11,32,4.321986481,1,93.34504187,94.3834803,93.92017226,90.5579266,1.28214255
13,76.15128739,8.57,83.4,6.330464147,2.894840311,Same,8,66,1.959027461,1,85.78434524,87.14223943,84.98368127,83.71935613,4.637718015
14,65.91773673,9.15,69.32,7.783154268,6.79850743,Improved,11,16,0.80047579,1,51.67865109,45.29490821,55.03535147,47.04515954,1.760515065
15,74.50152872,2.21,91.72,6.263300191,4.366103173,Declined,4,161,1.965026114,1,50.0003732,44.59509049,51.06635634,49.84317734,4.285000618
16,70.1589068,3.48,92.99,7.034567936,6.637390204,Declined,4,180,4.076878587,1,50.08724804,55.35301231,46.32740138,45.84510487,3.178523484
17,76.58436923,6.68,95.22,7.623604111,4.677631817,Declined,12,128,2.985975776,1,56.73332336,56.53554759,55.13805368,59.59896243,1.311426078
18,76.38644125,5.79,93.31,7.640706891,8.135045085,Declined,1,138,0.733418873,1,68.86160374,72.26910723,64.88147446,59.93227128,4.821792766
19,77.71603713,6.7,94.81,7.918503157,8.48847403,Same,2,157,1.385459912,1,63.75697603,63.89856791,69.13701172,61.95882766,1.987844668
20,64.3889777,4.61,72.37,6.942715158,6.731430153,Same,3,137,0,1,56.01760271,56.16638341,56.12416095,57.52313941,4.438581381
21,73.60425327,4.42,88.48,6.968583198,5.149712258,Declined,13,160,0.649309942,1,73.65190921,78.34332824,83.15786264,74.57108179,1.675240023
22,50.14038014,1.62,82.98,7.289643714,5.522189333,Same,4,180,0,1,47.67216234,45.09193869,47.36885827,61.13733066,4.415771529
23,73.9647052,6.42,100,6.502991719,3.806835238,Same,2,77,0,1,56.06795567,56.54855955,52.52592183,57.81695579,1.052915252
24,77.77657059,2.17,80.8,6.583209636,6.943722161,Improved,3,82,3.279220158,1,60.14990138,57.83852494,52.58132942,55.1296284,3.047121826
25,69.77603834,6.87,63.11,8.044237856,3.909316973,Improved,3,28,1.474802832,1,65.08384913,62.91136799,56.06815075,64.6065279,4.077770318
26,80.32258041,9.69,95.18,7.091133048,6.747269359,Declined,10,158,0,1,83.18467788,81.63881726,75.26399816,74.30344621,4.73918207
27,61.72171844,2.94,89.46,7.114995085,3.886426153,Declined,9,25,0.397594742,1,50.98205802,52.09272688,52.31769127,50.57905927,4.636808545
28,76.05471481,1.85,59.24,7.237347512,7.305608787,Improved,4,56,0,1,68.28289411,65.889151,70.82651923,64.11761383,4.278499478
29,81.91606337,0.73,58.66,6.713929945,2.607558193,Declined,13,42,3.330786944,1,72.58280129,78.86158192,64.67684778,77.15975267,4.552765399
30,52.56352648,4.1,100,6.802224034,3.862292338,Same,3,99,0,1,42.5547727,38.08173619,47.02996427,39.80707133,1.796878743
31,78.75467608,2.54,93.67,6.717548478,7.805898472,Declined,6,60,3.686611964,1,73.41496685,72.48060863,70.9996616,72.83113728,2.136737183
32,63.30605454,5.17,66.76,7.438306957,7.557771741,Same,5,162,0,0,49.3788268,47.18017151,50.11279186,46.2010376,2.1558741
33,62.35589077,5.48,93.38,7.079406649,1.967389496,Same,10,99,4.803289264,1,43.57783761,50.81272704,51.63894076,52.27209437,2.508215724
34,88.38932228,3.82,62.68,7.877251019,4.621750672,Declined,6,112,1.680845137,1,92.18870455,93.17147843,96.67290113,90.58249072,2.573282682
35,85.61386872,7.62,100,6.91691589,3.917211357,Declined,14,128,2.423411704,1,93.10976182,98.26898452,91.76710858,102.272547,3.178221299
36,81.71299281,9.1,70.02,6.934415719,5.916742702,Same,7,94,2.390811885,1,84.46185415,77.03405228,80.00589302,88.53261296,1.639519053
37,67.30750281,2.51,44.64,5.891390597,3.849091872,Same,14,64,0,1,56.7537573,58.08900863,45.9946803,59.16409094,3.764986655
38,67.53756414,8.44,60.32,7.707794643,6.541764988,Same,13,71,0,1,45.37196627,49.82012025,41.77619967,47.21563201,1.670266157
39,80.91020803,1.75,60.48,7.969965153,2.848808242,Same,1,167,0.765511119,1,77.63281646,78.0442364,76.57716526,79.60180295,2.241233928
40,73.20711127,2.67,53.92,7.408461402,3.276087001,Improved,12,175,0.510283671,1,64.20838716,69.53578903,59.27248952,54.57002426,3.013380522
41,57.00129285,5.83,81.52,6.723277239,5.093180665,Same,5,69,0,1,46.71210292,44.12566067,46.05581808,45.31768595,4.185762246
42,71.72446631,3.41,76.91,7.264841795,4.651003132,Improved,14,162,0.944374705,1,67.23473006,74.28146726,67.61898947,71.46051991,3.957876933
43,65.43903013,0.9,93.86,8.072004067,5.577978859,Same,12,126,4.632399583,1,41.89136866,53.38585928,40.76708875,41.64688274,3.582137426
44,85.19479392,3.3,68.16,6.562365498,4.624569698,Improved,2,159,4.477867397,1,90.01262211,88.19842931,86.76260921,82.98667288,1.623093042
45,70.41410684,9.1,66.29,7.096654315,3.816433623,Same,8,86,3.025874302,1,54.23289899,52.00538638,55.07617235,53.97087674,3.188181382
46,87.05192182,2.16,91.98,5.965383238,4.094062192,Declined,5,25,0,1,76.43872564,83.70564803,78.64842889,84.95925322,1.349786007
47,73.76508494,7.76,60.26,7.303131542,5.421577288,Same,11,109,2.059902008,1,57.14410918,65.04196991,51.6921138,63.37856776,2.509452707
48,74.76766227,7.36,93.36,6.838788602,3.519358145,Same,14,65,0.676358384,1,68.60374116,65.98944103,75.65840306,68.29372112,2.654066121
49,72.47958683,1.51,79.47,6.022549878,1,Declined,1,151,0.647385594,1,70.06906536,67.96813128,69.5761247,74.82631175,1.159245758
50,52.31574955,3.63,81.12,7.194904825,7.160575717,Same,11,54,0,1,50.16699505,48.75807201,50.26124317,48.33445995,2.095952398
51,85.82165265,2.3,72.23,6.24034491,5.519165912,Declined,11,130,1.276201795,1,93.32715453,86.60490197,96.86822664,84.80779659,4.822597869
52,79.68609016,0.72,82.57,8.079296668,2.853387469,Same,11,167,1.130570906,1,82.63230528,78.03904555,83.79838594,78.00997534,4.814530431
53,87.78805186,2.14,64.32,5.893905741,5.130769653,Same,6,129,0,1,91.67244179,86.65173795,96.43812496,99.48688563,2.409308217
54,83.838226,2.41,78.54,7.835434596,1.630804332,Same,13,155,3.591353002,1,89.21550427,85.37651645,90.6511251,87.84553886,1.172400436
55,74.84032412,2.08,58.02,6.097878921,4.321234599,Same,4,62,2.206274547,1,72.88449883,72.7110744,69.82231196,71.66757894,1.716379757
56,76.45454681,1.37,30,6.041043575,3.551819583,Improved,5,18,1.982792176,1,90.70308293,91.87415659,92.51060055,89.20389194,2.568871174
57,57.73370466,5.5,84.07,6.618952003,6.302048737,Declined,6,161,2.311103005,1,44.86708761,52.61959008,39.14845658,54.38777056,4.791118792
58,67.77278392,3.57,75.34,5.865367915,7.857245989,Improved,14,176,2.131167859,1,50.77905743,45.78728723,51.32185596,58.90885201,1.564796254
